year,time_period_id,average_flow_predictions,main_branch,ashmont_branch,braintree_branch,stop_name,direction_id
2019.0,5.0,565.3738218781217,0,1,0,Ashmont,0
2019.0,5.0,6767.117561904764,1,0,0,Broadway,0
2019.0,5.0,188.1012295093794,0,0,1,Braintree,0
2019.0,5.0,6554.716174603177,1,0,0,Charles/MGH,0
2019.0,5.0,5308.426566089469,1,0,0,Central,0
2019.0,5.0,1688.1619992063497,1,0,0,Davis,0
2019.0,5.0,7200.869667532467,1,0,0,Downtown Crossing,0
2019.0,5.0,1906.116266233765,0,1,0,Fields Corner,0
2019.0,5.0,4289.758369841268,1,0,0,Harvard,0
2019.0,5.0,4330.061243650795,1,0,0,JFK/Umass,0
2019.0,5.0,6312.300219841269,1,0,0,Kendall/MIT,0
2019.0,5.0,2511.1991055555554,0,0,1,North Quincy,0
2019.0,5.0,6873.861345671,1,0,0,Park Street,0
2019.0,5.0,2767.811341630593,1,0,0,Porter,0
2019.0,5.0,778.5489495670998,0,0,1,Quincy Adams,0
2019.0,5.0,1510.5675613997112,0,0,1,Quincy Center,0
2019.0,5.0,2398.598237373738,0,1,0,Savin Hill,0
2019.0,5.0,1423.929308080808,0,1,0,Shawmut,0
2019.0,5.0,7480.504147763343,1,0,0,South Station,0
2019.0,5.0,2110.6638416305914,0,0,1,Wollaston,0
2019.0,6.0,1093.026091414142,1,0,0,Alewife,0
2019.0,6.0,10938.904503174599,1,0,0,Andrew,0
2019.0,6.0,554.3806639971141,0,1,0,Ashmont,0
2019.0,6.0,12312.024644444444,1,0,0,Broadway,0
2019.0,2.0,1318.5015725829733,0,1,0,Savin Hill,0
2019.0,2.0,927.9141480519484,0,1,0,Shawmut,0
2019.0,6.0,318.040303174603,0,0,1,Braintree,0
2019.0,6.0,14277.325028932173,1,0,0,Charles/MGH,0
2019.0,6.0,11366.742744155845,1,0,0,Central,0
2019.0,2.0,3457.0583532023525,1,0,0,South Station,0
2019.0,2.0,1490.9664101731616,0,0,1,Wollaston,0
2019.0,6.0,3910.8872388167383,1,0,0,Davis,0
2019.0,6.0,14947.6122515873,1,0,0,Downtown Crossing,0
2019.0,3.0,2494.7578373737383,1,0,0,Alewife,0
2019.0,6.0,2796.746352380952,0,1,0,Fields Corner,0
2019.0,6.0,9945.636197546897,1,0,0,Harvard,0
2019.0,6.0,6786.644773809524,1,0,0,JFK/Umass,0
2019.0,3.0,10167.163247546892,1,0,0,Andrew,0
2019.0,6.0,14276.999646536788,1,0,0,Kendall/MIT,0
2019.0,3.0,1881.314387301588,0,1,0,Ashmont,0
2019.0,6.0,5280.347771572875,0,0,1,North Quincy,0
2019.0,6.0,14760.659742279939,1,0,0,Park Street,0
2019.0,6.0,6591.650792063495,1,0,0,Porter,0
2019.0,6.0,1447.1617044733048,0,0,1,Quincy Adams,0
2019.0,6.0,2981.5820948773453,0,0,1,Quincy Center,0
2019.0,6.0,3309.4444165945156,0,1,0,Savin Hill,0
2019.0,6.0,2074.236309967809,0,1,0,Shawmut,0
2019.0,6.0,14830.758023748476,1,0,0,South Station,0
2019.0,6.0,4686.141021067819,0,0,1,Wollaston,0
2019.0,7.0,431.0967090909087,1,0,0,Alewife,0
2019.0,7.0,5826.114190548337,1,0,0,Andrew,0
2019.0,7.0,332.21332685647684,0,1,0,Ashmont,0
2019.0,7.0,6554.255932539681,1,0,0,Broadway,0
2019.0,7.0,115.5308763347764,0,0,1,Braintree,0
2019.0,7.0,7461.538270634916,1,0,0,Charles/MGH,0
2019.0,7.0,6512.493180519478,1,0,0,Central,0
2019.0,7.0,1898.5689718614706,1,0,0,Davis,0
2019.0,3.0,10737.400942063501,1,0,0,Broadway,0
2019.0,3.0,897.7768730880227,0,0,1,Braintree,0
2019.0,3.0,10877.743170707077,1,0,0,Charles/MGH,0
2019.0,3.0,9699.011104401145,1,0,0,Central,0
2019.0,3.0,5235.675229365078,1,0,0,Davis,0
2019.0,3.0,11264.716354978362,1,0,0,Downtown Crossing,0
2019.0,3.0,3079.28195909091,0,1,0,Fields Corner,0
2019.0,3.0,7881.667164141413,1,0,0,Harvard,0
2019.0,3.0,9006.015813059168,1,0,0,JFK/Umass,0
2019.0,3.0,9436.002555411258,1,0,0,Kendall/MIT,0
2019.0,3.0,5479.925984920634,0,0,1,North Quincy,0
2019.0,3.0,10560.18208427129,1,0,0,Park Street,0
2019.0,3.0,7237.4810971140005,1,0,0,Porter,0
2019.0,3.0,2065.6890770562773,0,0,1,Quincy Adams,0
2019.0,3.0,3500.7017367243866,0,0,1,Quincy Center,0
2019.0,3.0,3556.1630751803737,0,1,0,Savin Hill,0
2019.0,3.0,2554.6086692640706,0,1,0,Shawmut,0
2019.0,3.0,10900.382893073594,1,0,0,South Station,0
2019.0,3.0,4114.766547186147,0,0,1,Wollaston,0
2019.0,4.0,1247.1221992063502,1,0,0,Alewife,0
2019.0,4.0,8274.019964285719,1,0,0,Andrew,0
2019.0,4.0,1058.7229277777776,0,1,0,Ashmont,0
