FID,mode,season,year,route_id,route_name,direction_id,day_type_id,time_period_id,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,stop_order_real,main_branch,ashmont_branch,braintree_branch,average_flow_min,day_type_weekday,stop_Alewife,stop_Andrew,stop_Ashmont,stop_Braintree,stop_Broadway,stop_Central,stop_Charles/MGH,stop_Davis,stop_Downtown Crossing,stop_Fields Corner,stop_Harvard,stop_JFK/Umass,stop_Kendall/MIT,stop_North Quincy,stop_Park Street,stop_Porter,stop_Quincy Adams,stop_Quincy Center,stop_Savin Hill,stop_Shawmut,stop_South Station,stop_Wollaston,time_period_AM_PEAK,time_period_EARLY_AM,time_period_EVENING,time_period_LATE_EVENING,time_period_MIDDAY_BASE,time_period_MIDDAY_SCHOOL,time_period_NIGHT,time_period_PM_PEAK,time_period_VERY_EARLY_MORNING
4801,1,Fall,2019,Red,Red Line,0,1,5,place-asmnl,0,118221,77,0,1535,0,17.0,0,1,0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4802,1,Fall,2019,Red,Red Line,0,1,5,place-brdwy,25436,45375,77,330,589,7553,11.0,1,0,0,50.691275167785236,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4803,1,Fall,2019,Red,Red Line,0,1,5,place-brntn,0,72016,77,0,935,0,18.0,0,0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4804,1,Fall,2019,Red,Red Line,0,1,5,place-chmnl,102736,34439,77,1334,447,7287,7.0,1,0,0,48.90604026845637,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4805,1,Fall,2019,Red,Red Line,0,1,5,place-cntsq,100113,34045,77,1300,442,4835,5.0,1,0,0,32.4496644295302,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4806,1,Fall,2019,Red,Red Line,0,1,5,place-davis,62838,4611,77,816,60,1535,2.0,1,0,0,10.302013422818792,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4807,1,Fall,2019,Red,Red Line,0,1,5,place-dwnxg,203502,164500,77,2643,2136,8310,9.0,1,0,0,55.77181208053691,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4808,1,Fall,2019,Red,Red Line,0,1,5,place-fldcr,16259,72630,77,211,943,1993,15.0,0,1,0,13.375838926174497,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4809,1,Fall,2019,Red,Red Line,0,1,5,place-harsq,172338,23059,77,2238,299,3977,4.0,1,0,0,26.691275167785236,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4810,1,Fall,2019,Red,Red Line,0,1,5,place-jfk,60261,69807,77,783,907,3506,13.0,1,0,0,23.530201342281877,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4811,1,Fall,2019,Red,Red Line,0,1,5,place-knncl,157385,36882,77,2044,479,6400,6.0,1,0,0,42.95302013422819,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4812,1,Fall,2019,Red,Red Line,0,1,5,place-nqncy,13957,62834,77,181,816,3356,14.0,0,0,1,22.523489932885905,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4813,1,Fall,2019,Red,Red Line,0,1,5,place-pktrm,198084,158294,77,2573,2056,7804,8.0,1,0,0,52.375838926174495,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4814,1,Fall,2019,Red,Red Line,0,1,5,place-portr,45669,6903,77,593,90,2038,3.0,1,0,0,13.677852348993289,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4815,1,Fall,2019,Red,Red Line,0,1,5,place-qamnl,307,52538,77,4,682,935,17.0,0,0,1,6.275167785234899,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4816,1,Fall,2019,Red,Red Line,0,1,5,place-qnctr,2852,99259,77,37,1289,1614,16.0,0,0,1,10.832214765100671,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
4817,1,Fall,2019,Red,Red Line,0,1,5,place-shmnl,4640,27354,77,60,355,2725,14.0,0,1,0,18.288590604026847,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
